alpha.liquid,alpha.vapour,heatFlux.structure,p,T.interface,T.liquid,T.vapour,U.liquid_Magnitude
0.300765,0.133727,1.50401e+06,1.47205e+07,613.78,614.182,613.879,6.72072
0.300882,0.13361,1.50401e+06,1.47206e+07,613.78,614.181,613.879,6.71867
0.300998,0.133494,1.50401e+06,1.47207e+07,613.781,614.179,613.879,6.71663
0.301115,0.133377,1.50401e+06,1.47208e+07,613.781,614.178,613.88,6.71458
0.301231,0.133261,1.50401e+06,1.4721e+07,613.782,614.176,613.88,6.71254
0.301348,0.133144,1.50401e+06,1.47211e+07,613.782,614.175,613.88,6.71049
0.301465,0.133027,1.50401e+06,1.47212e+07,613.782,614.173,613.88,6.70845
0.301581,0.132911,1.50401e+06,1.47213e+07,613.783,614.172,613.88,6.7064
0.301698,0.132794,1.50401e+06,1.47214e+07,613.783,614.17,613.88,6.70436
0.301814,0.132678,1.50401e+06,1.47215e+07,613.784,614.169,613.881,6.70231
0.301931,0.132561,1.50401e+06,1.47216e+07,613.784,614.167,613.881,6.70027
0.302048,0.132444,1.50401e+06,1.47217e+07,613.785,614.166,613.881,6.69822
0.302164,0.132328,1.50401e+06,1.47218e+07,613.785,614.164,613.881,6.69617
0.302281,0.132211,1.50401e+06,1.47219e+07,613.785,614.163,613.881,6.69413
0.302472,0.13202,1.504e+06,1.4722e+07,613.786,614.16,613.882,6.69083
0.302717,0.131775,1.504e+06,1.47222e+07,613.787,614.157,613.882,6.68661
0.302962,0.13153,1.504e+06,1.47224e+07,613.788,614.154,613.882,6.68239
0.303207,0.131285,1.504e+06,1.47225e+07,613.788,614.151,613.883,6.67817
0.303453,0.13104,1.504e+06,1.47227e+07,613.789,614.148,613.883,6.67395
0.303698,0.130794,1.504e+06,1.47228e+07,613.79,614.145,613.884,6.66974
0.303943,0.130549,1.504e+06,1.4723e+07,613.791,614.142,613.884,6.66552
0.304188,0.130304,1.504e+06,1.47231e+07,613.792,614.139,613.884,6.6613
0.304433,0.130059,1.504e+06,1.47233e+07,613.793,614.136,613.885,6.65708
0.304679,0.129813,1.504e+06,1.47234e+07,613.793,614.133,613.885,6.65286
0.304924,0.129568,1.504e+06,1.47236e+07,613.794,614.13,613.885,6.64864
0.305169,0.129323,1.504e+06,1.47238e+07,613.795,614.127,613.886,6.64442
0.305414,0.129078,1.504e+06,1.47239e+07,613.796,614.124,613.886,6.6402
0.305662,0.12883,1.504e+06,1.47241e+07,613.797,614.121,613.887,6.63596
0.305923,0.128569,1.50399e+06,1.47242e+07,613.797,614.118,613.887,6.63157
0.306184,0.128308,1.50399e+06,1.47244e+07,613.798,614.115,613.887,6.62719
0.306445,0.128047,1.50399e+06,1.47245e+07,613.799,614.112,613.888,6.6228
0.306706,0.127786,1.50399e+06,1.47247e+07,613.8,614.109,613.888,6.61842
0.306967,0.127525,1.50399e+06,1.47248e+07,613.801,614.106,613.888,6.61403
0.307228,0.127264,1.50399e+06,1.4725e+07,613.802,614.102,613.889,6.60964
0.307489,0.127003,1.50399e+06,1.47251e+07,613.802,614.099,613.889,6.60526
0.307749,0.126743,1.50399e+06,1.47253e+07,613.803,614.096,613.889,6.60087
0.30801,0.126482,1.50399e+06,1.47254e+07,613.804,614.093,613.89,6.59648
0.308271,0.126221,1.50399e+06,1.47256e+07,613.805,614.09,613.89,6.5921
0.308532,0.12596,1.50399e+06,1.47258e+07,613.806,614.087,613.89,6.58771
0.308793,0.125699,1.50399e+06,1.47259e+07,613.806,614.084,613.891,6.58332
0.309054,0.125438,1.50399e+06,1.47261e+07,613.807,614.081,613.891,6.57894
0.309321,0.125171,1.50399e+06,1.47262e+07,613.808,614.078,613.891,6.57449
0.30959,0.124902,1.50399e+06,1.47264e+07,613.809,614.075,613.892,6.57001
0.309859,0.124633,1.50399e+06,1.47265e+07,613.81,614.071,613.892,6.56554
0.310129,0.124363,1.50399e+06,1.47266e+07,613.811,614.068,613.892,6.56107
0.310398,0.124094,1.50399e+06,1.47268e+07,613.811,614.065,613.893,6.55659
0.310667,0.123825,1.50399e+06,1.47269e+07,613.812,614.062,613.893,6.55212
0.310936,0.123556,1.50399e+06,1.47271e+07,613.813,614.059,613.893,6.54765
0.311205,0.123287,1.50399e+06,1.47272e+07,613.814,614.055,613.894,6.54317
0.311475,0.123017,1.50399e+06,1.47274e+07,613.815,614.052,613.894,6.5387
0.311744,0.122748,1.50399e+06,1.47275e+07,613.815,614.049,613.894,6.53422
0.312013,0.122479,1.50399e+06,1.47277e+07,613.816,614.046,613.895,6.52975
0.312282,0.12221,1.50399e+06,1.47278e+07,613.817,614.043,613.895,6.52528
0.312551,0.121941,1.50399e+06,1.4728e+07,613.818,614.04,613.895,6.5208
0.312823,0.121669,1.50398e+06,1.47281e+07,613.819,614.036,613.896,6.5163
0.313102,0.12139,1.50398e+06,1.47282e+07,613.82,614.033,613.896,6.51173
0.31338,0.121112,1.50398e+06,1.47284e+07,613.82,614.03,613.896,6.50716
0.313659,0.120833,1.50398e+06,1.47285e+07,613.821,614.027,613.897,6.50259
0.313937,0.120555,1.50398e+06,1.47287e+07,613.822,614.024,613.897,6.49802
0.314216,0.120276,1.50398e+06,1.47288e+07,613.823,614.02,613.897,6.49344
0.314494,0.119998,1.50398e+06,1.47289e+07,613.823,614.017,613.898,6.48887
0.314773,0.119719,1.50398e+06,1.47291e+07,613.824,614.014,613.898,6.4843
0.315051,0.119441,1.50398e+06,1.47292e+07,613.825,614.011,613.899,6.47973
0.31533,0.119162,1.50398e+06,1.47294e+07,613.826,614.008,613.899,6.47516
0.315608,0.118884,1.50398e+06,1.47295e+07,613.827,614.004,613.899,6.47059
0.315887,0.118605,1.50398e+06,1.47297e+07,613.827,614.001,613.9,6.46602
0.316165,0.118327,1.50398e+06,1.47298e+07,613.828,613.998,613.9,6.46145
0.316444,0.118048,1.50398e+06,1.47299e+07,613.829,613.995,613.9,6.45688
0.316731,0.117761,1.50397e+06,1.47301e+07,613.83,613.992,613.901,6.45222
0.317019,0.117473,1.50397e+06,1.47302e+07,613.83,613.988,613.901,6.44755
0.317308,0.117184,1.50397e+06,1.47303e+07,613.831,613.985,613.901,6.44288
0.317596,0.116896,1.50397e+06,1.47305e+07,613.832,613.982,613.902,6.43821
0.317885,0.116607,1.50397e+06,1.47306e+07,613.833,613.979,613.902,6.43354
0.318173,0.116319,1.50397e+06,1.47308e+07,613.833,613.975,613.902,6.42887
0.318461,0.116031,1.50397e+06,1.47309e+07,613.834,613.972,613.903,6.42419
0.31875,0.115742,1.50397e+06,1.4731e+07,613.835,613.969,613.903,6.41952
0.319038,0.115454,1.50397e+06,1.47312e+07,613.836,613.966,613.904,6.41485
0.319326,0.115166,1.50397e+06,1.47313e+07,613.836,613.963,613.904,6.41018
0.319615,0.114877,1.50397e+06,1.47315e+07,613.837,613.959,613.904,6.40551
0.319903,0.114589,1.50397e+06,1.47316e+07,613.838,613.956,613.905,6.40084
0.320192,0.1143,1.50397e+06,1.47317e+07,613.839,613.953,613.905,6.39617
0.320485,0.114007,1.50396e+06,1.47319e+07,613.839,613.95,613.905,6.39145
0.320784,0.113708,1.50396e+06,1.4732e+07,613.84,613.946,613.905,6.38667
0.321083,0.113409,1.50396e+06,1.47321e+07,613.841,613.943,613.906,6.3819
0.321382,0.11311,1.50396e+06,1.47323e+07,613.841,613.94,613.906,6.37712
0.321681,0.112811,1.50396e+06,1.47324e+07,613.842,613.936,613.906,6.37235
0.32198,0.112512,1.50396e+06,1.47325e+07,613.843,613.933,613.907,6.36757
0.322279,0.112213,1.50396e+06,1.47327e+07,613.844,613.93,613.907,6.36279
0.322578,0.111914,1.50396e+06,1.47328e+07,613.844,613.927,613.907,6.35802
0.322877,0.111615,1.50396e+06,1.47329e+07,613.845,613.923,613.908,6.35324
0.323176,0.111316,1.50396e+06,1.47331e+07,613.846,613.92,613.908,6.34847
0.323475,0.111017,1.50396e+06,1.47332e+07,613.846,613.917,613.908,6.34369
0.323774,0.110718,1.50396e+06,1.47333e+07,613.847,613.913,613.908,6.33891
0.324073,0.110419,1.50396e+06,1.47335e+07,613.848,613.91,613.909,6.33414
0.324372,0.11012,1.50396e+06,1.47336e+07,613.849,613.907,613.909,6.32936
0.324682,0.10981,1.50395e+06,1.47337e+07,613.849,613.904,613.909,6.32448
0.324993,0.109499,1.50395e+06,1.47339e+07,613.85,613.9,613.91,6.31959
0.325303,0.109189,1.50395e+06,1.4734e+07,613.851,613.897,613.91,6.31471
0.325613,0.108879,1.50395e+06,1.47341e+07,613.851,613.894,613.91,6.30983
0.325924,0.108568,1.50395e+06,1.47343e+07,613.852,613.89,613.911,6.30494
0.326234,0.108258,1.50395e+06,1.47344e+07,613.853,613.887,613.911,6.30006
0.326544,0.107947,1.50395e+06,1.47345e+07,613.853,613.884,613.911,6.29518
0.326855,0.107637,1.50395e+06,1.47346e+07,613.854,613.88,613.912,6.29029
0.327165,0.107327,1.50395e+06,1.47348e+07,613.855,613.877,613.912,6.28541
0.327475,0.107017,1.50395e+06,1.47349e+07,613.855,613.874,613.912,6.28053
0.327786,0.106706,1.50395e+06,1.4735e+07,613.856,613.87,613.913,6.27564
0.328096,0.106396,1.50395e+06,1.47352e+07,613.857,613.867,613.913,6.27076
0.328407,0.106085,1.50395e+06,1.47353e+07,613.857,613.864,613.913,6.26588
0.328724,0.105768,1.50394e+06,1.47354e+07,613.858,613.86,613.914,6.26093
0.329046,0.105446,1.50394e+06,1.47355e+07,613.859,613.857,613.914,6.25595
0.329368,0.105124,1.50394e+06,1.47357e+07,613.859,613.853,613.914,6.25097
0.32969,0.104802,1.50394e+06,1.47358e+07,613.86,613.85,613.915,6.24599
0.330012,0.10448,1.50394e+06,1.47359e+07,613.861,613.847,613.915,6.24101
0.330334,0.104158,1.50394e+06,1.4736e+07,613.861,613.843,613.915,6.23603
0.330656,0.103836,1.50394e+06,1.47362e+07,613.862,613.84,613.916,6.23105
0.330978,0.103514,1.50394e+06,1.47363e+07,613.863,613.836,613.916,6.22607
0.3313,0.103193,1.50394e+06,1.47364e+07,613.863,613.833,613.916,6.22109
0.331622,0.102871,1.50394e+06,1.47365e+07,613.864,613.829,613.917,6.21611
0.331944,0.102549,1.50394e+06,1.47367e+07,613.865,613.826,613.917,6.21113
0.332266,0.102227,1.50394e+06,1.47368e+07,613.865,613.822,613.917,6.20615
0.332588,0.101905,1.50394e+06,1.47369e+07,613.866,613.819,613.918,6.20117
0.332912,0.101581,1.50393e+06,1.4737e+07,613.867,613.815,613.918,6.19618
0.333244,0.101249,1.50393e+06,1.47371e+07,613.867,613.812,613.918,6.19112
0.333576,0.100916,1.50393e+06,1.47373e+07,613.868,613.808,613.919,6.18607
0.333908,0.100584,1.50393e+06,1.47374e+07,613.868,613.804,613.919,6.18101
0.33424,0.100252,1.50393e+06,1.47375e+07,613.869,613.8,613.919,6.17596
0.334573,0.0999199,1.50393e+06,1.47376e+07,613.87,613.796,613.92,6.17091
0.334905,0.0995877,1.50393e+06,1.47377e+07,613.87,613.793,613.92,6.16585
0.335237,0.0992556,1.50393e+06,1.47379e+07,613.871,613.789,613.92,6.1608
0.335569,0.0989234,1.50393e+06,1.4738e+07,613.872,613.785,613.92,6.15574
0.335901,0.0985912,1.50393e+06,1.47381e+07,613.872,613.781,613.921,6.15069
0.336234,0.098259,1.50393e+06,1.47382e+07,613.873,613.778,613.921,6.14563
0.336566,0.0979268,1.50393e+06,1.47383e+07,613.874,613.774,613.921,6.14058
0.336898,0.0975946,1.50393e+06,1.47385e+07,613.874,613.77,613.922,6.13552
0.33723,0.0972624,1.50393e+06,1.47386e+07,613.875,613.766,613.922,6.13047
0.337569,0.0969234,1.50392e+06,1.47387e+07,613.875,613.762,613.922,6.12537
0.33791,0.0965824,1.50392e+06,1.47388e+07,613.876,613.758,613.923,6.12026
0.338251,0.0962413,1.50392e+06,1.47389e+07,613.877,613.754,613.923,6.11515
0.338592,0.0959003,1.50392e+06,1.4739e+07,613.877,613.75,613.923,6.11004
0.338933,0.0955593,1.50392e+06,1.47391e+07,613.878,613.746,613.923,6.10493
0.339274,0.0952182,1.50392e+06,1.47392e+07,613.879,613.741,613.924,6.09982
0.339615,0.0948772,1.50392e+06,1.47394e+07,613.879,613.737,613.924,6.09471
0.339956,0.0945362,1.50392e+06,1.47395e+07,613.88,613.733,613.924,6.0896
0.340297,0.0941951,1.50392e+06,1.47396e+07,613.881,613.729,613.925,6.08449
0.340638,0.0938541,1.50392e+06,1.47397e+07,613.881,613.725,613.925,6.07938
0.340979,0.0935131,1.50392e+06,1.47398e+07,613.882,613.721,613.925,6.07427
0.34132,0.0931721,1.50392e+06,1.47399e+07,613.883,613.716,613.926,6.06916
0.341661,0.092831,1.50392e+06,1.474e+07,613.883,613.712,613.926,6.06405
0.342005,0.0924871,1.50391e+06,1.47401e+07,613.884,613.708,613.926,6.05893
0.342354,0.0921378,1.50391e+06,1.47402e+07,613.884,613.703,613.926,6.05377
0.342704,0.0917885,1.50391e+06,1.47404e+07,613.885,613.699,613.927,6.04862
0.343053,0.0914392,1.50391e+06,1.47405e+07,613.885,613.694,613.927,6.04347
0.343402,0.09109,1.50391e+06,1.47406e+07,613.886,613.689,613.927,6.03832
0.343751,0.0907407,1.50391e+06,1.47407e+07,613.887,613.685,613.928,6.03317
0.344101,0.0903914,1.50391e+06,1.47408e+07,613.887,613.68,613.928,6.02802
0.34445,0.0900421,1.50391e+06,1.47409e+07,613.888,613.675,613.928,6.02286
0.344799,0.0896928,1.50391e+06,1.4741e+07,613.888,613.671,613.928,6.01771
0.345148,0.0893435,1.50391e+06,1.47411e+07,613.889,613.666,613.929,6.01256
0.345498,0.0889943,1.50391e+06,1.47412e+07,613.89,613.662,613.929,6.00741
0.345847,0.088645,1.50391e+06,1.47413e+07,613.89,613.657,613.929,6.00226
0.346196,0.0882957,1.50391e+06,1.47414e+07,613.891,613.652,613.93,5.9971
0.346545,0.0879464,1.5039e+06,1.47415e+07,613.891,613.648,613.93,5.99195
0.346902,0.0875903,1.5039e+06,1.47416e+07,613.892,613.643,613.93,5.98678
0.347258,0.0872337,1.5039e+06,1.47418e+07,613.893,613.638,613.93,5.98161
0.347615,0.0868771,1.5039e+06,1.47419e+07,613.893,613.632,613.931,5.97643
0.347971,0.0865205,1.5039e+06,1.4742e+07,613.894,613.627,613.931,5.97126
0.348328,0.0861639,1.5039e+06,1.47421e+07,613.894,613.622,613.931,5.96608
0.348685,0.0858073,1.5039e+06,1.47422e+07,613.895,613.617,613.932,5.96091
0.349041,0.0854506,1.5039e+06,1.47423e+07,613.895,613.612,613.932,5.95574
0.349398,0.085094,1.5039e+06,1.47424e+07,613.896,613.607,613.932,5.95056
0.349755,0.0847374,1.5039e+06,1.47425e+07,613.896,613.602,613.932,5.94539
0.350111,0.0843808,1.50389e+06,1.47426e+07,613.897,613.596,613.933,5.94022
0.350468,0.0840242,1.50389e+06,1.47427e+07,613.898,613.591,613.933,5.93504
0.350825,0.0836676,1.50389e+06,1.47428e+07,613.898,613.586,613.933,5.92987
0.351181,0.083311,1.50389e+06,1.47429e+07,613.899,613.581,613.933,5.9247
0.351541,0.0829517,1.50389e+06,1.4743e+07,613.899,613.576,613.934,5.91953
0.351903,0.0825897,1.50389e+06,1.47431e+07,613.9,613.57,613.934,5.91439
0.352264,0.0822278,1.50389e+06,1.47432e+07,613.9,613.564,613.934,5.90924
0.352626,0.0818658,1.50389e+06,1.47433e+07,613.901,613.558,613.934,5.90409
0.352988,0.0815039,1.50388e+06,1.47434e+07,613.902,613.552,613.935,5.89894
0.35335,0.0811419,1.50388e+06,1.47435e+07,613.902,613.546,613.935,5.89379
0.353712,0.08078,1.50388e+06,1.47436e+07,613.903,613.54,613.935,5.88865
0.354074,0.080418,1.50388e+06,1.47437e+07,613.903,613.534,613.935,5.8835
0.354436,0.080056,1.50388e+06,1.47438e+07,613.904,613.528,613.936,5.87835
0.354798,0.0796941,1.50388e+06,1.47439e+07,613.904,613.523,613.936,5.8732
0.35516,0.0793321,1.50388e+06,1.4744e+07,613.905,613.517,613.936,5.86805
0.355522,0.0789702,1.50388e+06,1.47441e+07,613.905,613.511,613.937,5.86291
0.355884,0.0786082,1.50388e+06,1.47442e+07,613.906,613.505,613.937,5.85776
0.356246,0.0782463,1.50387e+06,1.47443e+07,613.907,613.499,613.937,5.85262
0.356608,0.0778848,1.50387e+06,1.47444e+07,613.907,613.492,613.937,5.84755
0.356969,0.0775233,1.50387e+06,1.47445e+07,613.907,613.485,613.938,5.84248
0.357331,0.0771618,1.50387e+06,1.47445e+07,613.908,613.478,613.938,5.83741
0.357692,0.0768003,1.50387e+06,1.47446e+07,613.908,613.471,613.938,5.83234
0.358053,0.0764388,1.50387e+06,1.47447e+07,613.909,613.464,613.939,5.82727
0.358415,0.0760773,1.50387e+06,1.47448e+07,613.909,613.457,613.939,5.8222
0.358776,0.0757159,1.50387e+06,1.47449e+07,613.91,613.45,613.939,5.81713
0.359138,0.0753543,1.50387e+06,1.4745e+07,613.91,613.443,613.939,5.81206
0.359499,0.0749928,1.50386e+06,1.47451e+07,613.911,613.437,613.94,5.80699
0.359861,0.0746313,1.50386e+06,1.47452e+07,613.911,613.43,613.94,5.80193
0.360222,0.0742699,1.50386e+06,1.47453e+07,613.912,613.423,613.94,5.79686
0.360584,0.0739084,1.50386e+06,1.47454e+07,613.912,613.416,613.941,5.79179
0.360945,0.0735469,1.50386e+06,1.47455e+07,613.913,613.409,613.941,5.78672
0.361305,0.0731872,1.50386e+06,1.47456e+07,613.913,613.401,613.941,5.7817
0.361664,0.0728285,1.50386e+06,1.47457e+07,613.914,613.393,613.942,5.77672
0.362022,0.0724699,1.50386e+06,1.47458e+07,613.914,613.385,613.942,5.77173
0.362381,0.0721112,1.50386e+06,1.47459e+07,613.915,613.377,613.942,5.76674
0.36274,0.0717525,1.50385e+06,1.4746e+07,613.915,613.37,613.942,5.76176
0.363098,0.0713938,1.50385e+06,1.47461e+07,613.916,613.362,613.943,5.75677
0.363457,0.0710352,1.50385e+06,1.47461e+07,613.916,613.354,613.943,5.75179
0.363816,0.0706765,1.50385e+06,1.47462e+07,613.916,613.346,613.943,5.7468
0.364174,0.0703178,1.50385e+06,1.47463e+07,613.917,613.338,613.944,5.74181
0.364533,0.0699591,1.50385e+06,1.47464e+07,613.917,613.33,613.944,5.73683
0.364892,0.0696004,1.50385e+06,1.47465e+07,613.918,613.322,613.944,5.73184
0.365251,0.0692417,1.50385e+06,1.47466e+07,613.918,613.314,613.944,5.72685
0.365609,0.0688831,1.50385e+06,1.47467e+07,613.919,613.306,613.945,5.72187
0.365968,0.0685245,1.50384e+06,1.47468e+07,613.919,613.298,613.945,5.7169
0.366326,0.0681661,1.50384e+06,1.47469e+07,613.92,613.289,613.945,5.71198
0.366684,0.0678078,1.50384e+06,1.47469e+07,613.92,613.28,613.946,5.70706
0.367043,0.0674495,1.50384e+06,1.4747e+07,613.92,613.272,613.946,5.70214
0.367401,0.0670912,1.50384e+06,1.47471e+07,613.921,613.263,613.946,5.69723
0.367759,0.0667329,1.50384e+06,1.47472e+07,613.921,613.254,613.946,5.69231
0.368118,0.0663746,1.50384e+06,1.47473e+07,613.922,613.245,613.947,5.68739
0.368476,0.0660162,1.50384e+06,1.47473e+07,613.922,613.236,613.947,5.68248
0.368834,0.0656579,1.50384e+06,1.47474e+07,613.923,613.228,613.947,5.67756
0.369193,0.0652996,1.50383e+06,1.47475e+07,613.923,613.219,613.947,5.67264
0.369551,0.0649413,1.50383e+06,1.47476e+07,613.924,613.21,613.948,5.66772
0.369909,0.064583,1.50383e+06,1.47477e+07,613.924,613.201,613.948,5.66281
0.370268,0.0642246,1.50383e+06,1.47478e+07,613.924,613.192,613.948,5.65789
0.370626,0.0638663,1.50383e+06,1.47478e+07,613.925,613.184,613.948,5.65297
0.370984,0.0635086,1.50383e+06,1.47479e+07,613.925,613.174,613.949,5.64812
0.371341,0.063151,1.50383e+06,1.4748e+07,613.926,613.164,613.949,5.64327
0.371699,0.0627934,1.50383e+06,1.47481e+07,613.926,613.155,613.949,5.63843
0.372056,0.0624358,1.50382e+06,1.47482e+07,613.927,613.145,613.949,5.63359
0.372414,0.0620782,1.50382e+06,1.47482e+07,613.927,613.135,613.95,5.62875
